frame,t_s,x_left,x_right,y_bottom,y_top,v_inst,infile,merged_out,png,timestamp
0,0.000,0.500,0.700,0.540,0.660,0.050,frame_0000.in,frame_0000_merged.out,,2025-11-24 22:12:56
1,0.200,0.510,0.710,0.540,0.660,0.054,frame_0001.in,frame_0001_merged.out,,2025-11-24 22:12:58
2,0.400,0.522,0.722,0.540,0.660,0.058,frame_0002.in,frame_0002_merged.out,,2025-11-24 22:13:01
3,0.600,0.534,0.734,0.540,0.660,0.062,frame_0003.in,frame_0003_merged.out,,2025-11-24 22:13:04
4,0.800,0.546,0.746,0.540,0.660,0.066,frame_0004.in,frame_0004_merged.out,,2025-11-24 22:13:07
5,1.000,0.560,0.760,0.540,0.660,0.070,frame_0005.in,frame_0005_merged.out,,2025-11-24 22:13:10
6,1.200,0.574,0.774,0.540,0.660,0.074,frame_0006.in,frame_0006_merged.out,,2025-11-24 22:13:13
7,1.400,0.590,0.790,0.540,0.660,0.078,frame_0007.in,frame_0007_merged.out,,2025-11-24 22:13:16
8,1.600,0.606,0.806,0.540,0.660,0.082,frame_0008.in,frame_0008_merged.out,,2025-11-24 22:13:19
9,1.800,0.622,0.822,0.540,0.660,0.086,frame_0009.in,frame_0009_merged.out,,2025-11-24 22:13:22
10,2.000,0.640,0.840,0.540,0.660,0.090,frame_0010.in,frame_0010_merged.out,,2025-11-24 22:13:25
11,2.200,0.658,0.858,0.540,0.660,0.094,frame_0011.in,frame_0011_merged.out,,2025-11-24 22:13:28
12,2.400,0.678,0.878,0.540,0.660,0.098,frame_0012.in,frame_0012_merged.out,,2025-11-24 22:13:30
13,2.600,0.698,0.898,0.540,0.660,0.102,frame_0013.in,frame_0013_merged.out,,2025-11-24 22:13:33
14,2.800,0.718,0.918,0.540,0.660,0.106,frame_0014.in,frame_0014_merged.out,,2025-11-24 22:13:36
15,3.000,0.740,0.940,0.540,0.660,0.110,frame_0015.in,frame_0015_merged.out,,2025-11-24 22:13:39
16,3.200,0.762,0.962,0.540,0.660,0.114,frame_0016.in,frame_0016_merged.out,,2025-11-24 22:13:42
17,3.400,0.786,0.986,0.540,0.660,0.118,frame_0017.in,frame_0017_merged.out,,2025-11-24 22:13:45
18,3.600,0.810,1.010,0.540,0.660,0.122,frame_0018.in,frame_0018_merged.out,,2025-11-24 22:13:47
19,3.800,0.834,1.034,0.540,0.660,0.126,frame_0019.in,frame_0019_merged.out,,2025-11-24 22:13:50
20,4.000,0.860,1.060,0.540,0.660,0.130,frame_0020.in,frame_0020_merged.out,,2025-11-24 22:13:53
21,4.200,0.886,1.086,0.540,0.660,0.134,frame_0021.in,frame_0021_merged.out,,2025-11-24 22:13:56
22,4.400,0.914,1.114,0.540,0.660,0.138,frame_0022.in,frame_0022_merged.out,,2025-11-24 22:13:58
23,4.600,0.942,1.142,0.540,0.660,0.142,frame_0023.in,frame_0023_merged.out,,2025-11-24 22:14:01
24,4.800,0.970,1.170,0.540,0.660,0.146,frame_0024.in,frame_0024_merged.out,,2025-11-24 22:14:05
25,5.000,1.000,1.200,0.540,0.660,0.150,frame_0025.in,frame_0025_merged.out,,2025-11-24 22:14:07
26,5.200,1.030,1.230,0.540,0.660,0.154,frame_0026.in,frame_0026_merged.out,,2025-11-24 22:14:10
27,5.400,1.062,1.262,0.540,0.660,0.158,frame_0027.in,frame_0027_merged.out,,2025-11-24 22:14:13
28,5.600,1.094,1.294,0.540,0.660,0.162,frame_0028.in,frame_0028_merged.out,,2025-11-24 22:14:16
29,5.800,1.126,1.326,0.540,0.660,0.166,frame_0029.in,frame_0029_merged.out,,2025-11-24 22:14:19
30,6.000,1.160,1.360,0.540,0.660,0.170,frame_0030.in,frame_0030_merged.out,,2025-11-24 22:14:22
31,6.200,1.194,1.394,0.540,0.660,0.174,frame_0031.in,frame_0031_merged.out,,2025-11-24 22:14:24
32,6.400,1.230,1.430,0.540,0.660,0.178,frame_0032.in,frame_0032_merged.out,,2025-11-24 22:14:27
33,6.600,1.266,1.466,0.540,0.660,0.182,frame_0033.in,frame_0033_merged.out,,2025-11-24 22:14:30
34,6.800,1.302,1.502,0.540,0.660,0.186,frame_0034.in,frame_0034_merged.out,,2025-11-24 22:14:33
35,7.000,1.340,1.540,0.540,0.660,0.190,frame_0035.in,frame_0035_merged.out,,2025-11-24 22:14:36
